,MOTA,MOTP,OSPA (Total),OSPA (Loc),OSPA (Card),RMSE (Pos),IDSW,FAR,Count Err,G-IoU,Purity,Comp,Time
Full_Model,0.8054108796296297,2.288320223090674,11.063718915916738,2.1982321952620607,9.472867288826984,2.8779326680759882,381.0,0.003,0.4598,0.0,0.0,0.0,0.0
No_Fourier,0.7887731481481481,2.5022259561513263,12.262052352043277,2.422588613360352,10.689959560878242,3.3465892851323273,371.0,0.003,0.5066,0.0,0.0,0.0,0.0
No_Adaptive_Fusion,0.7894241898148149,2.4991556084145383,12.247874530010836,2.4153647075398443,10.686556559655925,3.334503968308998,366.0,0.0028,0.5062,0.0,0.0,0.0,0.0
Plain_GCN,0.7731481481481481,3.1035193417517895,13.56679820117889,2.9885977331695126,11.70841174463729,4.112146766451103,387.0,0.0032,0.5462,0.0,0.0,0.0,0.0
