,MOTA,MOTP,OSPA (Total),OSPA (Loc),OSPA (Card),RMSE (Pos),IDSW,FAR,Count Err,G-IoU,Purity,Comp,Time
No_Fourier,0.7889178240740741,2.5022258102024373,12.26205234972661,2.4144236810836235,10.691702142294737,3.3465892383485967,371.0,0.0026,0.507,0.0,0.0,0.0,0.0
No_Adaptive_Fusion,0.7895688657407407,2.4991558045515836,12.247874504117638,2.4071999411706755,10.68829914107242,3.3345043183772445,366.0,0.0024,0.5066,0.0,0.0,0.0,0.0
Plain_GCN,0.7732928240740741,3.1035198080966846,13.566798139803536,2.9804333155601053,11.710154326053786,4.112146337816668,387.0,0.0028,0.5466,0.0,0.0,0.0,0.0
