,MOTA,MOTP,OSPA (Total),OSPA (Loc),OSPA (Card),RMSE (Pos),IDSW,FAR,Count Err,G-IoU,Purity,Comp,Time
No_Fourier,0.7889178240740741,2.5022257432336628,12.262052283007687,2.414423538810964,10.691702142294737,3.346589128261052,371.0,0.0026,0.507,0.0,0.0,0.0,0.0
No_Adaptive_Fusion,0.7895688657407407,2.4991556973873883,12.247874444881266,2.407199763525965,10.68829914107242,3.3345041225283345,366.0,0.0024,0.5066,0.0,0.0,0.0,0.0
Plain_GCN,0.7732928240740741,3.1035199536402094,13.566798079631335,2.9804333834106265,11.710154326053786,4.112146792425436,387.0,0.0028,0.5466,0.0,0.0,0.0,0.0
